Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Type
P35453	HXD13_HUMAN	reviewed	Homeobox protein Hox-D13 (Homeobox protein Hox-4I)	HOXD13 HOX4I	Homo sapiens (Human)	343	TFs
Q6ZMG9	CERS6_HUMAN	reviewed	Ceramide synthase 6 (CerS6) (LAG1 longevity assurance homolog 6)	CERS6 LASS6	Homo sapiens (Human)	384	TFs
Q9UPM6	LHX6_HUMAN	reviewed	LIM/homeobox protein Lhx6 (LIM homeobox protein 6) (LIM/homeobox protein Lhx6.1)	LHX6 LHX6.1	Homo sapiens (Human)	363	TFs
P78411	IRX5_HUMAN	reviewed	Iroquois-class homeodomain protein IRX-5 (Homeodomain protein IRX-2A) (Homeodomain protein IRXB2) (Iroquois homeobox protein 5)	IRX5 IRX2A IRXB2	Homo sapiens (Human)	483	TFs
Q9UKY1	ZHX1_HUMAN	reviewed	Zinc fingers and homeoboxes protein 1	ZHX1	Homo sapiens (Human)	873	TFs
O43365	HXA3_HUMAN	reviewed	Homeobox protein Hox-A3 (Homeobox protein Hox-1E)	HOXA3 HOX1E	Homo sapiens (Human)	443	TFs
A8MZ59	LEUTX_HUMAN	reviewed	Leucine-twenty homeobox	LEUTX	Homo sapiens (Human)	168	TFs
A8MTQ0	NOTO_HUMAN	reviewed	Homeobox protein notochord	NOTO	Homo sapiens (Human)	251	TFs
Q9NP08	HMX1_HUMAN	reviewed	Homeobox protein HMX1 (Homeobox protein H6)	HMX1 H6	Homo sapiens (Human)	348	TFs
O00470	MEIS1_HUMAN	reviewed	Homeobox protein Meis1	MEIS1	Homo sapiens (Human)	390	TFs
P35452	HXD12_HUMAN	reviewed	Homeobox protein Hox-D12 (Homeobox protein Hox-4H)	HOXD12 HOX4H	Homo sapiens (Human)	270	TFs
Q2M1V0	ISX_HUMAN	reviewed	Intestine-specific homeobox (RAX-like homeobox)	ISX RAXLX	Homo sapiens (Human)	245	TFs
O60479	DLX3_HUMAN	reviewed	Homeobox protein DLX-3	DLX3	Homo sapiens (Human)	287	TFs
P50458	LHX2_HUMAN	reviewed	LIM/homeobox protein Lhx2 (Homeobox protein LH-2) (LIM homeobox protein 2)	LHX2 LH2	Homo sapiens (Human)	406	TFs
A6NNA5	DRGX_HUMAN	reviewed	Dorsal root ganglia homeobox protein (Paired-related homeobox protein-like 1)	DRGX PRRXL1	Homo sapiens (Human)	263	TFs
P40424	PBX1_HUMAN	reviewed	Pre-B-cell leukemia transcription factor 1 (Homeobox protein PBX1) (Homeobox protein PRL)	PBX1 PRL	Homo sapiens (Human)	430	TFs
Q9C0A1	ZFHX2_HUMAN	reviewed	Zinc finger homeobox protein 2 (Zinc finger homeodomain protein 2) (ZFH-2)	ZFHX2 KIAA1056 KIAA1762 ZNF409	Homo sapiens (Human)	2572	TFs
P14651	HXB3_HUMAN	reviewed	Homeobox protein Hox-B3 (Homeobox protein Hox-2.7) (Homeobox protein Hox-2G)	HOXB3 HOX2G	Homo sapiens (Human)	431	TFs
P49640	EVX1_HUMAN	reviewed	Homeobox even-skipped homolog protein 1 (EVX-1)	EVX1	Homo sapiens (Human)	407	TFs
O60393	NOBOX_HUMAN	reviewed	Homeobox protein NOBOX	NOBOX	Homo sapiens (Human)	691	TFs
P17509	HXB6_HUMAN	reviewed	Homeobox protein Hox-B6 (Homeobox protein Hox-2.2) (Homeobox protein Hox-2B) (Homeobox protein Hu-2)	HOXB6 HOX2B	Homo sapiens (Human)	224	TFs
P31274	HXC9_HUMAN	reviewed	Homeobox protein Hox-C9 (Homeobox protein Hox-3B)	HOXC9 HOX3B	Homo sapiens (Human)	260	TFs
P31249	HXD3_HUMAN	reviewed	Homeobox protein Hox-D3 (Homeobox protein Hox-4A)	HOXD3 HOX1D HOX4A	Homo sapiens (Human)	432	TFs
A6NJ46	NKX63_HUMAN	reviewed	Homeobox protein Nkx-6.3	NKX6-3	Homo sapiens (Human)	265	TFs
P56179	DLX6_HUMAN	reviewed	Homeobox protein DLX-6	DLX6	Homo sapiens (Human)	175	TFs
Q6NT76	HMBX1_HUMAN	reviewed	Homeobox-containing protein 1 (Homeobox telomere-binding protein 1) (Telomere-associated homeobox-containing protein 1)	HMBOX1 HOT1 TAH1	Homo sapiens (Human)	420	TFs
Q86UP3	ZFHX4_HUMAN	reviewed	Zinc finger homeobox protein 4 (Zinc finger homeodomain protein 4) (ZFH-4)	ZFHX4	Homo sapiens (Human)	3567	TFs
Q8N7U7	TPRX1_HUMAN	reviewed	Tetra-peptide repeat homeobox protein 1	TPRX1	Homo sapiens (Human)	411	TFs
E9PGG2	ANHX_HUMAN	reviewed	Anomalous homeobox protein	ANHX	Homo sapiens (Human)	379	TFs
Q9H2W2	MIXL1_HUMAN	reviewed	Homeobox protein MIXL1 (Homeodomain protein MIX) (hMix) (MIX1 homeobox-like protein 1) (Mix.1 homeobox-like protein)	MIXL1 MIXL	Homo sapiens (Human)	232	TFs
P20823	HNF1A_HUMAN	reviewed	Hepatocyte nuclear factor 1-alpha (HNF-1-alpha) (HNF-1A) (Liver-specific transcription factor LF-B1) (LFB1) (Transcription factor 1) (TCF-1)	HNF1A TCF1	Homo sapiens (Human)	631	TFs
Q9H4I2	ZHX3_HUMAN	reviewed	Zinc fingers and homeoboxes protein 3 (Triple homeobox protein 1) (Zinc finger and homeodomain protein 3)	ZHX3 KIAA0395 TIX1	Homo sapiens (Human)	956	TFs
Q96IS3	RAX2_HUMAN	reviewed	Retina and anterior neural fold homeobox protein 2 (Q50-type retinal homeobox protein) (Retina and anterior neural fold homeobox-like protein 1)	RAX2 QRX RAXL1	Homo sapiens (Human)	184	TFs
Q9UD57	NKX12_HUMAN	reviewed	NK1 transcription factor-related protein 2 (Homeobox protein SAX-1) (NKX-1.1)	NKX1-2 C10orf121 NKX1.1	Homo sapiens (Human)	310	TFs
Q04743	EMX2_HUMAN	reviewed	Homeobox protein EMX2 (Empty spiracles homolog 2) (Empty spiracles-like protein 2)	EMX2	Homo sapiens (Human)	252	TFs
O15266	SHOX_HUMAN	reviewed	Short stature homeobox protein (Pseudoautosomal homeobox-containing osteogenic protein) (Short stature homeobox-containing protein)	SHOX PHOG	Homo sapiens (Human)	292	TFs
A6NLW8	DUXA_HUMAN	reviewed	Double homeobox protein A	DUXA	Homo sapiens (Human)	204	TFs
O14770	MEIS2_HUMAN	reviewed	Homeobox protein Meis2 (Meis1-related protein 1)	MEIS2 MRG1	Homo sapiens (Human)	477	TFs
Q99687	MEIS3_HUMAN	reviewed	Homeobox protein Meis3 (Meis1-related protein 2)	MEIS3 MRG2	Homo sapiens (Human)	375	TFs
Q8IX15	HOMEZ_HUMAN	reviewed	Homeobox and leucine zipper protein Homez (Homeodomain leucine zipper-containing factor)	HOMEZ KIAA1443	Homo sapiens (Human)	550	TFs
Q92786	PROX1_HUMAN	reviewed	Prospero homeobox protein 1 (Homeobox prospero-like protein PROX1) (PROX-1)	PROX1	Homo sapiens (Human)	737	TFs
Q3B8N5	PROX2_HUMAN	reviewed	Prospero homeobox protein 2 (Homeobox prospero-like protein PROX2) (PROX-2)	PROX2	Homo sapiens (Human)	592	TFs
Q96LI6	HSFY1_HUMAN	reviewed	Heat shock transcription factor, Y-linked (Heat shock transcription factor 2-like protein) (HSF2-like)	HSFY1 HSF2L HSFY; HSFY2 HSF2L HSFY	Homo sapiens (Human)	401	TFs
Q4G112	HSF5_HUMAN	reviewed	Heat shock factor protein 5 (HSF 5) (Heat shock transcription factor 5) (HSTF 5)	HSF5 HSTF5	Homo sapiens (Human)	596	TFs
Q03933	HSF2_HUMAN	reviewed	Heat shock factor protein 2 (HSF 2) (Heat shock transcription factor 2) (HSTF 2)	HSF2 HSTF2	Homo sapiens (Human)	536	TFs
Q9ULV5	HSF4_HUMAN	reviewed	Heat shock factor protein 4 (HSF 4) (hHSF4) (Heat shock transcription factor 4) (HSTF 4)	HSF4	Homo sapiens (Human)	492	TFs
Q9UBD0	HSFX1_HUMAN	reviewed	Heat shock transcription factor, X-linked	HSFX1 LW-1; HSFX2	Homo sapiens (Human)	423	TFs
Q00613	HSF1_HUMAN	reviewed	Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1)	HSF1 HSTF1	Homo sapiens (Human)	529	TFs
Q96JN0	LCOR_HUMAN	reviewed	Ligand-dependent corepressor (LCoR) (Mblk1-related protein 2)	LCOR C10orf12 KIAA1795 MLR2	Homo sapiens (Human)	433	TFs
Q8N3X6	LCORL_HUMAN	reviewed	Ligand-dependent nuclear receptor corepressor-like protein (LCoR-like protein)	LCORL	Homo sapiens (Human)	602	TFs
P10914	IRF1_HUMAN	reviewed	Interferon regulatory factor 1 (IRF-1)	IRF1	Homo sapiens (Human)	325	TFs
Q02556	IRF8_HUMAN	reviewed	Interferon regulatory factor 8 (IRF-8) (Interferon consensus sequence-binding protein) (H-ICSBP) (ICSBP)	IRF8 ICSBP1	Homo sapiens (Human)	426	TFs
Q92985	IRF7_HUMAN	reviewed	Interferon regulatory factor 7 (IRF-7)	IRF7	Homo sapiens (Human)	503	TFs
Q13568	IRF5_HUMAN	reviewed	Interferon regulatory factor 5 (IRF-5)	IRF5	Homo sapiens (Human)	498	TFs
O14896	IRF6_HUMAN	reviewed	Interferon regulatory factor 6 (IRF-6)	IRF6	Homo sapiens (Human)	467	TFs
Q15306	IRF4_HUMAN	reviewed	Interferon regulatory factor 4 (IRF-4) (Lymphocyte-specific interferon regulatory factor) (LSIRF) (Multiple myeloma oncogene 1) (NF-EM5)	IRF4 MUM1	Homo sapiens (Human)	451	TFs
P14316	IRF2_HUMAN	reviewed	Interferon regulatory factor 2 (IRF-2)	IRF2	Homo sapiens (Human)	349	TFs
Q00978	IRF9_HUMAN	reviewed	Interferon regulatory factor 9 (IRF-9) (IFN-alpha-responsive transcription factor subunit) (ISGF3 p48 subunit) (Interferon-stimulated gene factor 3 gamma) (ISGF-3 gamma) (Transcriptional regulator ISGF3 subunit gamma)	IRF9 ISGF3G	Homo sapiens (Human)	393	TFs
Q14653	IRF3_HUMAN	reviewed	Interferon regulatory factor 3 (IRF-3)	IRF3	Homo sapiens (Human)	427	TFs
O95243	MBD4_HUMAN	reviewed	Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding endonuclease 1) (Methyl-CpG-binding protein MBD4) (Mismatch-specific DNA N-glycosylase)	MBD4 MED1	Homo sapiens (Human)	580	TFs
Q9UBB5	MBD2_HUMAN	reviewed	Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)	MBD2	Homo sapiens (Human)	411	TFs
Q15047	SETB1_HUMAN	reviewed	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.43) (ERG-associated protein with SET domain) (ESET) (Histone H3-K9 methyltransferase 4) (H3-K9-HMTase 4) (Lysine N-methyltransferase 1E) (SET domain bifurcated 1)	SETDB1 KIAA0067 KMT1E	Homo sapiens (Human)	1291	TFs
Q96T68	SETB2_HUMAN	reviewed	Histone-lysine N-methyltransferase SETDB2 (EC 2.1.1.43) (Chronic lymphocytic leukemia deletion region gene 8 protein) (Lysine N-methyltransferase 1F) (SET domain bifurcated 2)	SETDB2 C13orf4 CLLD8 KMT1F	Homo sapiens (Human)	719	TFs
Q9UIF8	BAZ2B_HUMAN	reviewed	Bromodomain adjacent to zinc finger domain protein 2B (hWALp4)	BAZ2B KIAA1476	Homo sapiens (Human)	2168	TFs
P51608	MECP2_HUMAN	reviewed	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	MECP2	Homo sapiens (Human)	486	TFs
Q9UIS9	MBD1_HUMAN	reviewed	Methyl-CpG-binding domain protein 1 (CXXC-type zinc finger protein 3) (Methyl-CpG-binding protein MBD1) (Protein containing methyl-CpG-binding domain 1)	MBD1 CXXC3 PCM1	Homo sapiens (Human)	605	TFs
O95983	MBD3_HUMAN	reviewed	Methyl-CpG-binding domain protein 3 (Methyl-CpG-binding protein MBD3)	MBD3	Homo sapiens (Human)	291	TFs
Q9UIF9	BAZ2A_HUMAN	reviewed	Bromodomain adjacent to zinc finger domain protein 2A (Transcription termination factor I-interacting protein 5) (TTF-I-interacting protein 5) (Tip5) (hWALp3)	BAZ2A KIAA0314 TIP5	Homo sapiens (Human)	1905	TFs
O15105	SMAD7_HUMAN	reviewed	Mothers against decapentaplegic homolog 7 (MAD homolog 7) (Mothers against DPP homolog 7) (Mothers against decapentaplegic homolog 8) (MAD homolog 8) (Mothers against DPP homolog 8) (SMAD family member 7) (SMAD 7) (Smad7) (hSMAD7)	SMAD7 MADH7 MADH8	Homo sapiens (Human)	426	TFs
Q15796	SMAD2_HUMAN	reviewed	Mothers against decapentaplegic homolog 2 (MAD homolog 2) (Mothers against DPP homolog 2) (JV18-1) (Mad-related protein 2) (hMAD-2) (SMAD family member 2) (SMAD 2) (Smad2) (hSMAD2)	SMAD2 MADH2 MADR2	Homo sapiens (Human)	467	TFs
O43541	SMAD6_HUMAN	reviewed	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (SMAD family member 6) (SMAD 6) (Smad6) (hSMAD6)	SMAD6 MADH6	Homo sapiens (Human)	496	TFs
Q15797	SMAD1_HUMAN	reviewed	Mothers against decapentaplegic homolog 1 (MAD homolog 1) (Mothers against DPP homolog 1) (JV4-1) (Mad-related protein 1) (SMAD family member 1) (SMAD 1) (Smad1) (hSMAD1) (Transforming growth factor-beta-signaling protein 1) (BSP-1)	SMAD1 BSP1 MADH1 MADR1	Homo sapiens (Human)	465	TFs
P84022	SMAD3_HUMAN	reviewed	Mothers against decapentaplegic homolog 3 (MAD homolog 3) (Mad3) (Mothers against DPP homolog 3) (hMAD-3) (JV15-2) (SMAD family member 3) (SMAD 3) (Smad3) (hSMAD3)	SMAD3 MADH3	Homo sapiens (Human)	425	TFs
Q13485	SMAD4_HUMAN	reviewed	Mothers against decapentaplegic homolog 4 (MAD homolog 4) (Mothers against DPP homolog 4) (Deletion target in pancreatic carcinoma 4) (SMAD family member 4) (SMAD 4) (Smad4) (hSMAD4)	SMAD4 DPC4 MADH4	Homo sapiens (Human)	552	TFs
O15198	SMAD9_HUMAN	reviewed	Mothers against decapentaplegic homolog 9 (MAD homolog 9) (Mothers against DPP homolog 9) (Madh6) (SMAD family member 9) (SMAD 9) (Smad9)	SMAD9 MADH6 MADH9 SMAD8	Homo sapiens (Human)	467	TFs
Q99717	SMAD5_HUMAN	reviewed	Mothers against decapentaplegic homolog 5 (MAD homolog 5) (Mothers against DPP homolog 5) (JV5-1) (SMAD family member 5) (SMAD 5) (Smad5) (hSmad5)	SMAD5 MADH5	Homo sapiens (Human)	465	TFs
Q15466	NR0B2_HUMAN	reviewed	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	NR0B2 SHP	Homo sapiens (Human)	257	TFs
P51843	NR0B1_HUMAN	reviewed	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	NR0B1 AHC DAX1	Homo sapiens (Human)	470	TFs
P10244	MYBB_HUMAN	reviewed	Myb-related protein B (B-Myb) (Myb-like protein 2)	MYBL2 BMYB	Homo sapiens (Human)	700	TFs
Q92922	SMRC1_HUMAN	reviewed	SWI/SNF complex subunit SMARCC1 (BRG1-associated factor 155) (BAF155) (SWI/SNF complex 155 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 1)	SMARCC1 BAF155	Homo sapiens (Human)	1105	TFs
Q15554	TERF2_HUMAN	reviewed	Telomeric repeat-binding factor 2 (TTAGGG repeat-binding factor 2) (Telomeric DNA-binding protein)	TERF2 TRBF2 TRF2	Homo sapiens (Human)	542	TFs
Q9UKL0	RCOR1_HUMAN	reviewed	REST corepressor 1 (Protein CoREST)	RCOR1 KIAA0071 RCOR	Homo sapiens (Human)	485	TFs
O75376	NCOR1_HUMAN	reviewed	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)	NCOR1 KIAA1047	Homo sapiens (Human)	2440	TFs
P54274	TERF1_HUMAN	reviewed	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	TERF1 PIN2 TRBF1 TRF TRF1	Homo sapiens (Human)	439	TFs
Q5SXM2	SNPC4_HUMAN	reviewed	snRNA-activating protein complex subunit 4 (SNAPc subunit 4) (Proximal sequence element-binding transcription factor subunit alpha) (PSE-binding factor subunit alpha) (PTF subunit alpha) (snRNA-activating protein complex 190 kDa subunit) (SNAPc 190 kDa subunit)	SNAPC4 SNAP190	Homo sapiens (Human)	1469	TFs
Q8IZ40	RCOR2_HUMAN	reviewed	REST corepressor 2	RCOR2	Homo sapiens (Human)	523	TFs
Q86TJ2	TAD2B_HUMAN	reviewed	Transcriptional adapter 2-beta (ADA2-like protein beta) (ADA2-beta)	TADA2B ADA2B	Homo sapiens (Human)	420	TFs
Q9Y222	DMTF1_HUMAN	reviewed	Cyclin-D-binding Myb-like transcription factor 1 (hDMTF1) (Cyclin-D-interacting Myb-like protein 1) (hDMP1)	DMTF1 DMP1	Homo sapiens (Human)	760	TFs
Q15361	TTF1_HUMAN	reviewed	Transcription termination factor 1 (TTF-1) (RNA polymerase I termination factor) (Transcription termination factor I) (TTF-I)	TTF1	Homo sapiens (Human)	905	TFs
P10242	MYB_HUMAN	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	MYB	Homo sapiens (Human)	640	TFs
Q9Y618	NCOR2_HUMAN	reviewed	Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)	NCOR2 CTG26	Homo sapiens (Human)	2514	TFs
Q8IYH5	ZZZ3_HUMAN	reviewed	ZZ-type zinc finger-containing protein 3	ZZZ3	Homo sapiens (Human)	903	TFs
Q99459	CDC5L_HUMAN	reviewed	Cell division cycle 5-like protein (Cdc5-like protein) (Pombe cdc5-related protein)	CDC5L KIAA0432 PCDC5RP	Homo sapiens (Human)	802	TFs
Q96KC8	DNJC1_HUMAN	reviewed	DnaJ homolog subfamily C member 1 (DnaJ protein homolog MTJ1)	DNAJC1 HTJ1	Homo sapiens (Human)	554	TFs
Q99543	DNJC2_HUMAN	reviewed	DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]	DNAJC2 MPHOSPH11 MPP11 ZRF1	Homo sapiens (Human)	621	TFs
O75478	TAD2A_HUMAN	reviewed	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)	TADA2A TADA2L KL04P	Homo sapiens (Human)	443	TFs
Q9P2K3	RCOR3_HUMAN	reviewed	REST corepressor 3	RCOR3 KIAA1343	Homo sapiens (Human)	495	TFs
Q5VVJ2	MYSM1_HUMAN	reviewed	Histone H2A deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)	MYSM1 KIAA1915	Homo sapiens (Human)	828	TFs
P10243	MYBA_HUMAN	reviewed	Myb-related protein A (A-Myb) (Myb-like protein 1)	MYBL1 AMYB	Homo sapiens (Human)	752	TFs
Q8TAQ2	SMRC2_HUMAN	reviewed	SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)	SMARCC2 BAF170	Homo sapiens (Human)	1214	TFs
Q8NA31	TERB1_HUMAN	reviewed	Telomere repeats-binding bouquet formation protein 1 (Coiled-coil domain-containing protein 79)	TERB1 CCDC79	Homo sapiens (Human)	727	TFs
Q8WWB7	GLMP_HUMAN	reviewed	Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1)	GLMP C1orf85 PSEC0030 UNQ2553/PRO6182	Homo sapiens (Human)	406	TFs
Q9Y2G1	MYRF_HUMAN	reviewed	Myelin regulatory factor (EC 3.4.-.-) (Myelin gene regulatory factor) [Cleaved into: Myelin regulatory factor, N-terminal; Myelin regulatory factor, C-terminal]	MYRF C11orf9 KIAA0954 MRF	Homo sapiens (Human)	1151	TFs
Q92570	NR4A3_HUMAN	reviewed	Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)	NR4A3 CHN CSMF MINOR NOR1 TEC	Homo sapiens (Human)	626	TFs
P22736	NR4A1_HUMAN	reviewed	Nuclear receptor subfamily 4 group A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3)	NR4A1 GFRP1 HMR NAK1	Homo sapiens (Human)	598	TFs
P43354	NR4A2_HUMAN	reviewed	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	Homo sapiens (Human)	598	TFs
P23511	NFYA_HUMAN	reviewed	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	NFYA	Homo sapiens (Human)	347	TFs
P25208	NFYB_HUMAN	reviewed	Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (Nuclear transcription factor Y subunit B) (NF-YB)	NFYB HAP3	Homo sapiens (Human)	207	TFs
Q13952	NFYC_HUMAN	reviewed	Nuclear transcription factor Y subunit gamma (CAAT box DNA-binding protein subunit C) (Nuclear transcription factor Y subunit C) (NF-YC) (Transactivator HSM-1/2)	NFYC	Homo sapiens (Human)	458	TFs
Q16656	NRF1_HUMAN	reviewed	Nuclear respiratory factor 1 (NRF-1) (Alpha palindromic-binding protein) (Alpha-pal)	NRF1	Homo sapiens (Human)	503	TFs
P16383	GCFC2_HUMAN	reviewed	GC-rich sequence DNA-binding factor 2 (GC-rich sequence DNA-binding factor) (Transcription factor 9) (TCF-9)	GCFC2 C2orf3 GCF TCF9	Homo sapiens (Human)	781	TFs
P22392	NDKB_HUMAN	reviewed	Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2)	NME2 NM23B	Homo sapiens (Human)	152	TFs
Q9NYF8	BCLF1_HUMAN	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	BCLAF1 BTF KIAA0164	Homo sapiens (Human)	920	TFs
O14593	RFXK_HUMAN	reviewed	DNA-binding protein RFXANK (Ankyrin repeat family A protein 1) (Regulatory factor X subunit B) (RFX-B) (Regulatory factor X-associated ankyrin-containing protein)	RFXANK ANKRA1 RFXB	Homo sapiens (Human)	260	TFs
P55197	AF10_HUMAN	reviewed	Protein AF-10 (ALL1-fused gene from chromosome 10 protein)	MLLT10 AF10	Homo sapiens (Human)	1068	TFs
Q9H5V7	IKZF5_HUMAN	reviewed	Zinc finger protein Pegasus (Ikaros family zinc finger protein 5)	IKZF5 ZNFN1A5	Homo sapiens (Human)	419	TFs
Q8N653	LZTR1_HUMAN	reviewed	Leucine-zipper-like transcriptional regulator 1 (LZTR-1)	LZTR1 TCFL2	Homo sapiens (Human)	840	TFs
Q16665	HIF1A_HUMAN	reviewed	Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein) (Basic-helix-loop-helix-PAS protein MOP1) (Class E basic helix-loop-helix protein 78) (bHLHe78) (Member of PAS protein 1) (PAS domain-containing protein 8)	HIF1A BHLHE78 MOP1 PASD8	Homo sapiens (Human)	826	TFs
Q6IQ32	ADNP2_HUMAN	reviewed	Activity-dependent neuroprotector homeobox protein 2 (ADNP homeobox protein 2) (Zinc finger protein 508)	ADNP2 KIAA0863 ZNF508	Homo sapiens (Human)	1131	TFs
O75808	CAN15_HUMAN	reviewed	Calpain-15 (EC 3.4.22.-) (Small optic lobes homolog)	CAPN15 SOLH	Homo sapiens (Human)	1086	TFs
Q06547	GABP1_HUMAN	reviewed	GA-binding protein subunit beta-1 (GABP subunit beta-1) (GABPB-1) (GABP subunit beta-2) (GABPB-2) (Nuclear respiratory factor 2) (Transcription factor E4TF1-47) (Transcription factor E4TF1-53)	GABPB1 E4TF1B GABPB GABPB2	Homo sapiens (Human)	395	TFs
Q9P2K5	MYEF2_HUMAN	reviewed	Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156)	MYEF2 KIAA1341	Homo sapiens (Human)	600	TFs
O60519	CRBL2_HUMAN	reviewed	cAMP-responsive element-binding protein-like 2	CREBL2	Homo sapiens (Human)	120	TFs
P20226	TBP_HUMAN	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TATA-binding factor) (TATA-box factor) (Transcription initiation factor TFIID TBP subunit)	TBP GTF2D1 TF2D TFIID	Homo sapiens (Human)	339	TFs
Q03701	CEBPZ_HUMAN	reviewed	CCAAT/enhancer-binding protein zeta (CCAAT-box-binding transcription factor) (CBF) (CCAAT-binding factor)	CEBPZ CBF2	Homo sapiens (Human)	1054	TFs
Q99814	EPAS1_HUMAN	reviewed	Endothelial PAS domain-containing protein 1 (EPAS-1) (Basic-helix-loop-helix-PAS protein MOP2) (Class E basic helix-loop-helix protein 73) (bHLHe73) (HIF-1-alpha-like factor) (HLF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha) (Member of PAS protein 2) (PAS domain-containing protein 2)	EPAS1 BHLHE73 HIF2A MOP2 PASD2	Homo sapiens (Human)	870	TFs
Q9NR48	ASH1L_HUMAN	reviewed	Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.43) (ASH1-like protein) (huASH1) (Absent small and homeotic disks protein 1 homolog) (Lysine N-methyltransferase 2H)	ASH1L KIAA1420 KMT2H	Homo sapiens (Human)	2969	TFs
Q3T8J9	GON4L_HUMAN	reviewed	GON-4-like protein (GON-4 homolog)	GON4L GON4 KIAA1606	Homo sapiens (Human)	2241	TFs
Q9H2G9	GO45_HUMAN	reviewed	Golgin-45 (Basic leucine zipper nuclear factor 1) (JEM-1) (p45 basic leucine-zipper nuclear factor)	BLZF1 JEM1	Homo sapiens (Human)	400	TFs
Q15651	HMGN3_HUMAN	reviewed	High mobility group nucleosome-binding domain-containing protein 3 (Thyroid receptor-interacting protein 7) (TR-interacting protein 7) (TRIP-7)	HMGN3 TRIP7 PNAS-24	Homo sapiens (Human)	99	TFs
O43248	HXC11_HUMAN	reviewed	Homeobox protein Hox-C11 (Homeobox protein Hox-3H)	HOXC11 HOX3H	Homo sapiens (Human)	304	TFs
Q9Y2N7	HIF3A_HUMAN	reviewed	Hypoxia-inducible factor 3-alpha (HIF-3-alpha) (HIF3-alpha) (Basic-helix-loop-helix-PAS protein MOP7) (Class E basic helix-loop-helix protein 17) (bHLHe17) (HIF3-alpha-1) (Inhibitory PAS domain protein) (IPAS) (Member of PAS protein 7) (PAS domain-containing protein 7)	HIF3A BHLHE17 MOP7 PASD7	Homo sapiens (Human)	669	TFs
Q9NR83	S2A4R_HUMAN	reviewed	SLC2A4 regulator (GLUT4 enhancer factor) (GEF) (Huntington disease gene regulatory region-binding protein 1) (HDBP-1)	SLC2A4RG HDBP1	Homo sapiens (Human)	387	TFs
Q96NX9	DACH2_HUMAN	reviewed	Dachshund homolog 2 (Dach2)	DACH2	Homo sapiens (Human)	599	TFs
